Brand,Summary of assessment findings or aggregate facility rating without naming individual facilities - At tier 1 level,Summary of assessment findings or aggregate facility rating without naming individual facilities - Beyond tier 1,Summary of assessment findings or aggregate facility rating without naming individual facilities - Raw material level,Facility-level rating by named facility  - At tier 1 level,Facility-level rating by named facility  - Beyond tier 1,Facility-level rating by named facility  - Raw material level,Selected audit findings/reports by named facility - At tier 1 level,Selected audit findings/reports by named facility - Beyond tier 1,Selected audit findings/reports by named facility - Raw material level,Full audit reports naming individual facilities - At tier 1 level,Full audit reports naming individual facilities - Beyond tier 1,Full audit reports naming individual facilities - Raw material level,Total
KiK,1,0,0,0,0,0,0,0,0,0,0,0,1
Kmart ,0,0,0,0,0,0,0,0,0,0,0,0,0
Kmart Australia,1,0,0,2,0,0,2,2,0,0,0,0,7
Kohl's,1,0,0,0,0,0,0,0,0,0,0,0,1
KOOVS,0,0,0,0,0,0,0,0,0,0,0,0,0
K-Way,0,0,0,0,0,0,0,0,0,0,0,0,0
La Redoute,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacoste,0,0,0,0,0,0,0,0,0,0,0,0,0
Lands' End,0,0,0,0,0,0,0,0,0,0,0,0,0
LC Waikiki,0,0,0,0,0,0,0,0,0,0,0,0,0
Levi Strauss & Co,0,0,0,0,0,0,2,0,0,0,0,0,2
Lidl,0,0,0,0,0,0,2,0,0,0,0,0,2
Lindex,1,0,0,0,0,0,2,2,0,0,0,0,5
Li-Ning,0,0,0,0,0,0,0,0,0,0,0,0,0
LL Bean,0,0,0,0,0,0,0,0,0,0,0,0,0
Longchamp,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis Vuitton,1,0,0,0,0,0,0,0,0,0,0,0,1
Lululemon,1,1,0,0,0,0,2,0,0,0,0,0,4
Macy's,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammut,1,0,0,0,0,0,0,0,0,0,0,0,1
Mango,1,0,0,0,0,0,2,0,0,0,0,0,3
Marc Jacobs,1,0,0,0,0,0,0,0,0,0,0,0,1
Marks & Spencer,1,0,0,0,0,0,2,2,0,0,0,0,5
Marni,0,0,0,0,0,0,0,0,0,0,0,0,0
Massimo Dutti,1,1,1,0,0,0,0,0,0,0,0,0,3
Matalan,0,0,0,0,0,0,2,0,0,0,0,0,2
Max Mara,0,0,0,0,0,0,0,0,0,0,0,0,0
Merrell,0,0,0,0,0,0,0,0,0,0,0,0,0
Metersbonwe,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Kors,0,0,0,0,0,0,0,0,0,0,0,0,0
Miu Miu,1,0,0,0,0,0,0,0,0,0,0,0,1
Mizuno,1,0,0,0,0,0,0,0,0,0,0,0,1
Moncler,0,0,0,0,0,0,0,0,0,0,0,0,0
Monoprix,1,0,0,0,0,0,0,0,0,0,0,0,1
Morrisons,0,0,0,0,0,0,2,0,0,0,0,0,2
MRP,0,0,0,0,0,0,0,0,0,0,0,0,0
Muji,1,0,0,0,0,0,0,0,0,0,0,0,1
New Balance,1,1,0,0,0,0,2,0,0,0,0,0,4
New Look,1,1,0,0,0,0,2,2,0,0,0,0,6
New Yorker,0,0,0,0,0,0,0,0,0,0,0,0,0
Next,1,1,0,0,0,0,2,0,0,0,0,0,4
Nike,1,0,0,0,0,0,2,0,0,0,0,0,3
Nine West,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordstrom,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Navy,1,1,0,0,0,0,2,2,0,0,0,0,6
Otto,0,0,0,0,0,0,2,0,0,0,0,0,2
OVS,1,0,0,2,0,0,2,2,0,0,0,0,7
Paris,0,0,0,0,0,0,0,0,0,0,0,0,0
Patagonia,1,1,0,0,0,0,2,2,0,0,0,0,6
Pepe Jeans,0,0,0,0,0,0,0,0,0,0,0,0,0
