Brand,Name of Facility,"Name of Parent Company (for each facility, if applicable)",Address,Type of products or services,Approximate number of workers at each site,If facility has trade union,If the facility has an independent worker committee,Sex-disaggregated breakdown of workers at each site,% or number of migrant or contract workers,"What certifications, if any, the facility has",List is publicly available as a csv or Excel spreadsheet in order to make this information easy to use for trade unions and NGOs ,Discloses what percentage of processing facilities is published,If list/map covers at least 95% of the processing factories in its supply chain,Publishes that this list or map of processing facilities has been updated within the past 6 months,Total
Marni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massimo Dutti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matalan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Mara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metersbonwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Kors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miu Miu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizuno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moncler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monoprix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morrisons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Balance,3,0,3,2,0,0,0,0,0,0,3,1,0,1,13
New Look,3,3,3,2,0,0,0,0,0,0,0,0,0,1,12
New Yorker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Next,3,0,3,2,0,0,0,0,0,0,0,0,0,1,9
Nike,3,3,3,2,2,0,0,1,1,0,3,1,2,1,22
Nine West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordstrom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Navy,3,0,3,2,2,0,0,0,0,0,3,1,0,1,15
Otto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVS,3,3,3,2,2,2,1,1,1,0,3,0,0,1,22
