Brand,"Decarbonisation, deforestation and regeneration - Publishes time-bound, measurable commitment to decarbonisation (e.g. commitment to a complete coal phase out and/or renewable energy targets for own operations and supply chain)","Decarbonisation, deforestation and regeneration - Publishes measurable progress towards decarbonisation","Decarbonisation, deforestation and regeneration - Publishes Science Based Targets (such as those approved by Science Based Targets Initiative) covering climate and/or other environmental topics","Decarbonisation, deforestation and regeneration - Publishes report that maps environmental impacts directly to financial statements (e.g. Environmental P&L) ","Decarbonisation, deforestation and regeneration - Publishes time-bound, measurable commitment to zero deforestation","Decarbonisation, deforestation and regeneration - Publishes measurable progress towards achieving zero deforestation","Decarbonisation, deforestation and regeneration - Discloses evidence of implementing regenerative farming practices in one or more raw material sources","Carbon emissions - Publishes annual carbon footprint or GHG emissions in owned and operated facilities (e.g. head office, retail stores, distribution centres, warehouses, transport and mail orders, etc.)","Carbon emissions - Publishes annual carbon footprint or GHG emissions in the supply chain (e.g. at manufacturing and processing facilities, textile production)",Carbon emissions - Publishes annual carbon footprint or GHG emissions at a raw material level ,"Energy use - Discloses data on absolute energy reduction in the supply chain (e.g. at manufacturing and processing facilities, fibre production level)","Energy use - % of energy use coming from renewable sources in the company’s owned and operated facilities (e.g. head office, retail stores, distribution centres, warehouses, etc.)","Energy use - % of energy use coming from renewable sources in the supply chain (e.g. at manufacturing and processing facilities, fibre production level)",Total
Nike,1,1,1,0,0,0,0,1,2,0,2,1,2,11
Nine West,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordstrom,1,1,0,0,0,0,0,1,0,0,0,1,0,4
Old Navy,1,1,1,0,0,0,0,1,2,2,0,1,0,9
Otto,0,0,0,0,0,0,0,1,0,0,0,1,0,2
OVS,1,1,0,0,0,0,0,1,2,2,2,1,2,12
Paris,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Patagonia,1,1,1,0,0,0,1,1,2,2,0,1,0,10
Pepe Jeans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pimkie,0,0,0,1,0,0,0,1,0,0,0,0,0,2
Prada,0,0,0,0,0,0,0,1,0,0,0,1,0,2
PrettyLittleThing,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Primark,0,0,0,0,0,0,0,1,2,0,0,1,0,4
Prisma,1,1,1,0,0,0,0,1,0,0,0,0,0,4
Pull&Bear,1,1,1,0,0,0,0,1,2,2,0,1,0,9
Puma,0,1,1,1,0,1,0,1,2,0,2,1,0,10
Quiksilver,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Lauren,1,1,1,0,1,1,0,1,2,2,0,1,0,11
Reebok,1,1,1,0,0,0,0,1,2,2,2,0,0,10
REI,0,1,0,0,0,0,0,1,2,0,0,1,0,5
Reliance Trends,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Reserved,0,0,0,0,0,0,0,1,2,0,0,1,0,4
REVOLVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Island,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ross Dress for Less,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Roxy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Athletic,0,1,1,0,0,0,0,1,2,2,2,1,0,10
s.Oliver,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sainsbury's,1,1,1,0,1,1,1,1,0,0,0,1,0,8
SAINT LAURENT,1,1,1,1,1,1,1,1,2,2,2,1,0,15
Saks Fifth Avenue,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Salvatore Ferragamo,1,1,1,0,1,0,0,1,2,2,2,1,0,12
Sandro,0,0,0,0,0,0,0,1,2,0,0,0,0,3
Semir,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skechers,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speedo,1,1,0,0,1,1,0,1,0,2,0,0,0,7
Splash,0,1,0,0,0,0,0,1,0,0,0,0,0,2
Sports Direct,0,1,0,0,0,0,0,1,0,0,0,1,0,3
Steve Madden,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stradivarius,1,1,1,0,0,0,0,1,2,2,0,1,0,9
Superdry,1,1,0,0,0,0,0,1,0,0,2,1,2,8
Takko,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Target,1,1,1,0,0,0,1,1,2,0,2,1,0,10
Target Australia,1,1,0,0,1,1,0,1,2,0,0,0,0,7
Tchibo,1,1,1,0,0,0,1,1,2,2,0,1,0,10
Ted Baker,1,0,0,0,1,0,0,1,0,0,0,1,0,4
Tesco ,0,1,1,0,0,0,0,1,0,0,0,1,0,4
Tezenis,0,1,0,0,0,0,0,0,0,0,0,0,0,1
The Children's Place,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The North Face,1,1,1,0,0,0,1,1,2,2,2,1,2,14
The Warehouse,0,1,0,0,0,0,0,1,0,0,0,0,0,2
Timberland,1,1,1,0,0,0,1,1,2,2,2,1,2,14
TJ Maxx,0,1,0,0,0,0,0,1,0,0,0,1,0,3
Tod's,0,0,0,0,0,0,0,1,2,2,2,1,0,8
Tom Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Tailor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Bahama,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Hilfiger,1,1,1,0,0,0,0,1,0,0,0,1,2,7
Topman,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Topshop,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TOPVALU COLLECTION,0,0,1,1,0,0,0,1,2,0,0,1,0,6
Tory Burch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triumph,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Truworths,0,0,0,0,0,0,0,1,0,0,0,0,0,1
UGG,1,1,0,0,0,0,0,1,2,2,2,0,0,9
Under Armour,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uniqlo,0,0,1,0,1,0,0,1,2,2,2,0,0,9
United Arrows,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Colors of Benetton,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Urban Outfitters,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Valentino,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Heusen,1,1,1,0,0,0,0,1,0,0,0,1,2,7
Vans,1,1,1,0,0,0,1,1,2,2,2,1,2,14
Vero Moda,0,0,1,0,1,0,0,0,0,0,0,0,0,2
Versace,0,1,0,0,0,0,0,1,0,0,0,0,0,2
Very,1,1,0,0,0,0,0,1,0,0,0,0,0,3
Victoria's Secret,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Walmart,1,1,1,0,0,1,0,1,0,0,2,1,0,8
Woolworths South Africa,0,1,1,0,0,1,0,1,0,0,0,1,0,5
Wrangler,0,0,0,0,0,0,1,1,2,0,2,1,2,9
Youngor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalando,1,1,1,0,0,0,0,1,2,2,0,1,0,9
Zara,1,1,1,0,0,0,0,1,2,2,0,1,0,9
Zeeman,0,1,0,0,0,0,0,1,0,0,0,0,0,2
