Index,Brand,What are the company’s human rights and environmental policies?,What are the company’s vendor/supplier policies covering human rights and environmental standards across the supply chain?,Publishes the company’s human rights and environmental management procedures,Publishes a strategic plan towards progressively improving human rights and environmental impacts,Publishes an annual sustainability or corporate social responsibility report that is audited or verified by an independent third party,Publicly discloses contact details for the department the company that has responsibility for human rights and environmental issues,Publicly discloses the company board member or board committee accountable for human rights and environmental issues,Publicly acknowledges how the company prioritises money spent on managing and implementing CSR and sustainability activities,Publishes how the company incorporates human rights and environmental performance into purchasing practices,Publishes tier one factories,Publishes processing facilities,"Publishes suppliers of raw materials such as fibres, hides, rubber, dyes, metals, etc.","Publicly discloses human rights and environmental due diligence processes, outcomes and what brand is doing to remediate any issues identified.",Publicly discloses how the company assesses implementation of its supply chain policies by facility,Publicly discloses findings from its facility-level assessments,Publicly discloses description and status of the remediation process,Publicly discloses how the company ensures human rights and environmental grievances from employees and workers are captured and addressed,Decent work and purchasing practices,Gender and racial equality,Sustainable sourcing and materials,"Overconsumption, waste and circularity",Water and chemicals,Climate change and biodiversity
84,Fila,0.45,0.44,0.03,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.09,0.0,0.0
85,Fjällräven,0.95,0.86,0.6,0.5,0.0,1.0,0.0,1.0,0.67,0.23,0.0,0.05,0.33,0.5,0.04,0.33,0.62,0.07,0.43,0.33,0.27,0.33,0.35
86,Foot Locker,0.4,0.47,0.13,0.33,0.0,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.33,0.12,0.0,0.29,0.0,0.0,0.0,0.0
87,Foschini,0.5,0.31,0.37,1.0,0.0,1.0,0.67,0.0,0.0,0.38,0.0,0.0,0.0,0.33,0.0,0.0,0.38,0.03,0.43,0.11,0.09,0.33,0.06
88,Fossil,0.65,0.5,0.43,0.67,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.05,0.0,0.17,0.0,0.33,0.25,0.0,0.0,0.44,0.0,0.0,0.0
89,Free people,0.55,0.44,0.33,0.5,0.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.25,0.1,0.14,0.67,0.18,0.22,0.06
90,Fruit of the Loom,0.75,0.69,0.63,0.5,0.0,1.0,0.67,0.0,0.0,0.5,0.5,0.0,0.17,0.33,0.21,0.33,0.5,0.0,0.14,0.33,0.18,0.56,0.59
91,Furla,0.65,0.61,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
92,Gap,0.95,0.92,0.93,1.0,0.0,1.0,0.67,0.0,0.33,0.65,0.58,0.05,0.83,0.83,0.25,0.67,0.75,0.1,0.43,0.89,0.18,0.44,0.53
93,Gerry Weber,0.1,0.47,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.17,0.04,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
94,Gildan,0.9,0.92,0.87,1.0,1.0,1.0,0.67,0.0,0.67,1.0,0.92,0.95,0.67,0.33,0.12,0.67,0.88,0.23,0.71,0.22,0.09,0.56,0.59
95,G-Star RAW,0.6,0.97,0.93,1.0,0.0,1.0,0.67,0.0,0.67,0.85,0.77,0.05,0.33,0.5,0.17,1.0,0.25,0.13,0.0,0.56,0.09,0.33,0.06
96,GU,0.95,0.89,0.8,0.83,1.0,1.0,0.67,1.0,0.0,0.62,0.27,0.05,0.83,0.5,0.25,0.33,0.62,0.1,0.43,0.33,0.27,0.67,0.53
97,Gucci,0.95,0.89,0.83,1.0,1.0,1.0,1.0,0.0,1.0,0.73,0.0,0.18,1.0,0.5,0.12,0.67,0.88,0.43,0.57,0.89,0.55,0.78,1.0
98,GUESS,0.8,0.53,0.4,1.0,0.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.11,0.36,0.0,0.06
99,H&M,0.85,0.89,0.83,1.0,1.0,1.0,1.0,0.0,1.0,0.92,0.85,0.64,0.67,0.5,0.42,0.67,0.5,0.43,0.14,0.67,0.64,0.44,0.82
100,Hanes,0.75,0.78,0.6,0.5,0.0,1.0,0.67,0.0,1.0,0.54,0.54,0.05,0.17,0.33,0.04,0.33,0.75,0.13,0.43,0.44,0.09,0.56,0.59
