Brand,Name of Facility,"Name of Parent Company (for each facility, if applicable)",Address,Type of products or services,Approximate number of workers at each site,If facility has a trade union,If the facility has an independent worker committee,Sex-disaggregated breakdown of workers at each site,% or number of migrant or contract workers,"What certifications, if any, the facility has",List is publicly available as a csv or Excel spreadsheet in order to make this information easy to use for trade unions and NGOs ,Discloses what percentage of its tier one factories is published,If list/map covers at least 95% of the tier one factories in its supply chain,Publishes that this list or map of tier one factories has been updated within the past 6 months,Total
Topshop,3,0,3,2,2,0,0,0,0,0,3,1,2,0,16
TOPVALU COLLECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tory Burch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triumph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Truworths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGG,3,3,3,2,2,2,1,1,1,0,3,1,2,1,25
Under Armour,3,3,3,2,2,0,0,0,0,0,3,1,0,0,17
Uniqlo,3,3,3,2,2,0,0,0,0,0,3,0,0,0,16
United Arrows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Colors of Benetton,3,3,3,2,2,2,1,1,0,0,3,1,2,0,23
Urban Outfitters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valentino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Heusen,3,3,3,2,2,0,0,0,0,0,3,1,2,1,20
Vans,3,3,3,2,2,0,0,1,0,1,3,1,2,1,22
Vero Moda,3,0,3,2,2,0,0,1,0,0,3,1,2,1,18
Versace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Very,3,0,3,2,2,0,0,1,0,0,0,1,2,1,15
Victoria's Secret,3,3,3,0,2,0,0,1,0,0,3,1,2,1,19
Walmart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woolworths South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrangler,3,3,3,2,2,0,0,0,0,0,3,0,0,1,17
Youngor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalando,3,3,3,2,2,0,0,1,0,0,3,1,2,1,21
Zara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeeman,3,3,3,2,2,0,0,0,0,1,3,1,2,1,21
