Brand,SUSTAINABLE SOURCING & MATERIALS - Discloses breakdown (% or tonnes) of types of fibres sourced annually (i.e. the fibre mix),"SUSTAINABLE SOURCING & MATERIALS - Discloses a time-bound and measurable sustainable materials strategy, roadmap or targets","SUSTAINABLE SOURCING & MATERIALS - Publishes annual progress on achieving sustainable material targets (e.g. what % of materials are made using conventional/virgin materials verses more sustainable materials such as organic/Fairtrade/BCI cotton, recycled/repurposed, recycled and sustainable wool, recycled polyester, chrome-free/recycled leather, sustainably sourced forest based fabrics)",SUSTAINABLE SOURCING & MATERIALS - Explains what tool or process they use to define what is considered a 'sustainable' material,"SUSTAINABLE SOURCING & MATERIALS - Publishes measurable, time-bound targets for the reduction of textiles deriving from virgin fossil fuels",SUSTAINABLE SOURCING & MATERIALS - Publishes annual progress on the reduction of textiles deriving from virgin fossil fuels,"SUSTAINABLE SOURCING & MATERIALS - Publishes measurable, time-bound targets for the reduction of virgin plastics for packaging (including accessories, hangers, packaging)","SUSTAINABLE SOURCING & MATERIALS - Publishes annual progress on the reduction of virgin plastics for packaging (including accessories, hangers, packaging)",SUSTAINABLE SOURCING & MATERIALS - Discloses what the brand is doing to minimise the impact of microfibres,Total
Matalan,1,1,0,1,0,0,1,1,0,5
Max Mara,0,0,0,0,0,0,0,0,0,0
Merrell,0,0,1,0,0,0,0,1,0,2
Metersbonwe,0,0,0,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0,0,0,0
Michael Kors,0,0,0,0,0,0,1,0,0,1
Miu Miu,1,0,0,0,1,0,0,0,0,2
Mizuno,0,0,0,0,0,0,0,0,0,0
Moncler,0,0,0,0,0,0,0,0,0,0
Monoprix,0,0,0,1,0,0,1,1,0,3
Morrisons,0,1,0,0,0,0,1,1,1,4
MRP,0,0,1,0,0,0,0,1,0,2
Muji,0,1,0,1,0,0,0,1,0,3
New Balance,0,1,0,1,1,0,0,0,0,3
New Look,0,1,1,1,1,1,1,1,0,7
New Yorker,0,0,0,0,0,0,0,0,0,0
Next,0,1,1,0,0,0,0,0,1,3
Nike,1,1,1,1,0,1,0,0,1,6
Nine West,0,0,0,0,0,0,0,0,0,0
Nordstrom,0,1,0,1,0,0,1,1,0,4
Old Navy,1,1,1,1,0,1,1,1,1,8
Otto,0,0,0,0,0,0,0,0,0,0
OVS,1,1,1,1,1,1,1,1,0,8
Paris,0,0,1,0,0,0,1,0,0,2
Patagonia,1,1,1,0,1,1,0,1,1,7
Pepe Jeans,0,0,0,0,0,0,0,0,0,0
Pimkie,1,1,1,0,1,1,0,1,0,6
Prada,1,0,0,0,1,0,0,0,0,2
PrettyLittleThing,0,0,0,0,0,0,1,1,1,3
Primark,0,0,0,0,0,0,1,1,1,3
Prisma,0,0,0,0,0,0,1,1,0,2
Pull&Bear,1,1,1,0,1,1,1,1,1,8
Puma,0,1,1,1,1,0,1,0,1,6
Quiksilver,0,0,0,0,0,0,0,0,0,0
Ralph Lauren,1,1,1,1,1,1,1,1,1,9
Reebok,0,1,1,0,1,1,1,1,1,7
REI,0,1,0,0,0,0,0,1,1,3
Reliance Trends,0,0,0,0,0,0,0,0,0,0
Reserved,0,1,1,0,0,1,1,1,0,5
REVOLVE,0,0,0,0,0,0,0,0,0,0
River Island,0,0,0,0,0,0,0,0,0,0
Ross Dress for Less,0,0,0,0,0,0,0,0,0,0
Roxy,0,0,0,0,0,0,0,0,0,0
Russell Athletic,0,1,0,0,1,0,1,0,0,3
s.Oliver,0,1,1,0,0,0,0,0,0,2
Sainsbury's,1,1,1,1,0,1,1,1,0,7
SAINT LAURENT,1,1,1,1,1,0,1,1,1,8
Saks Fifth Avenue,0,0,0,0,0,0,0,0,0,0
Salvatore Ferragamo,0,1,0,0,0,0,1,1,0,3
Sandro,0,0,0,0,0,0,0,0,0,0
Semir,0,0,0,0,0,0,0,0,0,0
SHEIN,0,0,0,0,0,0,0,0,0,0
Skechers,0,0,0,0,0,0,0,1,0,1
Speedo,0,1,1,1,1,1,1,1,1,8
Splash,0,0,1,0,0,1,0,1,0,3
Sports Direct,0,0,0,0,0,0,0,0,0,0
Steve Madden,0,1,0,0,1,0,1,1,0,4
Stradivarius,1,1,1,0,1,1,1,1,1,8
Superdry,1,1,1,1,1,1,1,1,0,8
Takko,0,0,0,0,0,0,0,0,0,0
Target,0,1,1,1,0,1,1,1,0,6
Target Australia,1,1,1,1,1,1,1,0,0,7
Tchibo,1,1,1,1,1,1,0,1,1,8
Ted Baker,0,1,1,1,0,0,0,0,0,3
Tesco ,0,0,0,0,0,0,0,1,0,1
Tezenis,1,0,0,0,0,0,0,0,0,1
The Children's Place,0,0,0,0,0,0,0,0,0,0
The North Face,0,1,1,1,1,1,1,1,1,8
The Warehouse,0,0,0,0,0,0,1,1,0,2
Timberland,0,1,1,1,1,1,1,1,1,8
TJ Maxx,0,0,0,0,0,0,0,0,0,0
Tod's,0,0,0,0,0,0,0,0,0,0
Tom Ford,0,0,0,0,0,0,0,0,0,0
Tom Tailor,1,1,1,1,0,0,0,0,0,4
Tommy Bahama,0,0,0,0,0,0,0,0,0,0
Tommy Hilfiger,1,1,1,0,1,0,1,0,1,6
Topman,0,0,0,1,0,0,0,0,0,1
Topshop,0,0,0,1,0,0,0,0,0,1
TOPVALU COLLECTION,0,0,0,0,0,0,1,1,0,2
Tory Burch,0,0,0,0,0,0,0,0,0,0
Triumph,0,0,0,0,0,0,0,0,0,0
Truworths,0,0,0,0,0,0,0,1,0,1
UGG,1,1,1,1,1,1,1,1,0,8
Under Armour,0,0,0,0,0,0,1,0,0,1
Uniqlo,0,1,0,0,0,0,1,0,1,3
United Arrows,0,0,0,0,0,0,0,0,0,0
United Colors of Benetton,1,1,1,0,1,0,1,1,0,6
Urban Outfitters,0,1,1,0,1,1,1,1,0,6
Valentino,0,0,0,0,0,0,0,0,0,0
Van Heusen,1,1,1,0,1,0,1,0,1,6
Vans,0,1,1,1,1,1,1,0,1,7
Vero Moda,0,1,1,1,1,1,1,0,1,7
Versace,0,0,0,0,0,0,1,0,0,1
Very,0,0,0,0,0,0,0,0,0,0
Victoria's Secret,0,0,0,0,0,0,0,0,0,0
Walmart,0,1,0,0,0,0,1,1,0,3
Woolworths South Africa,0,0,1,0,1,1,1,1,0,5
Wrangler,0,1,0,1,1,0,0,0,0,3
Youngor,0,0,0,0,0,0,0,0,0,0
Zalando,1,1,1,1,1,1,1,1,0,8
Zara,1,1,1,0,1,1,1,1,1,8
Zeeman,1,1,1,0,0,0,0,1,0,4
