Brand,Name of supplier (e.g. parent company),Name of specific facility or farm,Address,"Type of raw material, products or services",Approximate number of workers,Sex-disaggregated breakdown of workers,% or number of migrant or contract workers,List is publicly available as a csv or Excel spreadsheet in order to make this information easy to use for trade unions and NGOs ,Discloses what percentage of raw materials suppliers is published,Discloses supplier list that covers more than one raw material type,Publishes that this list or map of raw materials suppliers has been updated within the past 12 months,"Discloses whether the company is tracing the source/supplier of one or more specific raw materials (e.g. part of Leather Working Group or using Responsible Down/Wool Standard, Global Recycling Standard, Content Claim Standard, Organic Cotton Standard, GOTS, FAIRTRADE Certified Cotton Mark and Cotton Programme, Cotton Made in Africa HIP, Oeko-Tex SteP/Made in Green or company/parent group's own initiatives such as using blockchain or transaction certifications or DNA schemes.",Total
Kaufland,0,0,0,0,0,0,0,0,0,0,0,1,1
Kiabi,0,0,0,0,0,0,0,0,0,0,0,0,0
KiK,0,0,0,0,0,0,0,0,0,0,0,1,1
Kmart ,0,0,0,0,0,0,0,0,0,0,0,0,0
Kmart Australia,0,0,0,0,0,0,0,0,0,0,0,1,1
Kohl's,0,0,0,0,0,0,0,0,0,0,0,1,1
KOOVS,0,0,0,0,0,0,0,0,0,0,0,0,0
K-Way,0,0,0,0,0,0,0,0,0,0,0,0,0
La Redoute,0,0,0,0,0,0,0,0,0,0,0,1,1
Lacoste,0,0,0,0,0,0,0,0,0,0,0,1,1
Lands' End,0,0,0,0,0,0,0,0,0,0,0,1,1
LC Waikiki,0,0,0,0,0,0,0,0,0,0,0,1,1
Levi Strauss & Co,0,0,0,0,0,0,0,0,0,0,0,1,1
Lidl,0,0,0,0,0,0,0,0,0,0,0,1,1
Lindex,3,3,3,2,2,1,0,3,1,1,1,1,21
Li-Ning,0,0,0,0,0,0,0,0,0,0,0,0,0
LL Bean,0,0,0,0,0,0,0,0,0,0,0,1,1
Longchamp,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis Vuitton,0,0,0,0,0,0,0,0,0,0,0,1,1
Lululemon,3,3,3,0,0,0,0,0,0,0,1,1,11
Macy's,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammut,0,0,0,0,0,0,0,0,0,0,0,1,1
Mango,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Jacobs,0,0,0,0,0,0,0,0,0,0,0,1,1
Marks & Spencer,3,3,3,2,2,0,0,0,0,1,1,1,16
Marni,0,0,0,0,0,0,0,0,0,0,0,0,0
Massimo Dutti,0,0,0,0,0,0,0,0,0,0,0,1,1
Matalan,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Mara,0,0,0,0,0,0,0,0,0,0,0,0,0
Merrell,0,0,0,0,0,0,0,0,0,0,0,1,1
Metersbonwe,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Kors,0,0,0,0,0,0,0,0,0,0,0,1,1
Miu Miu,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizuno,0,0,0,0,0,0,0,0,0,0,0,0,0
Moncler,0,0,0,0,0,0,0,0,0,0,0,1,1
Monoprix,0,0,0,0,0,0,0,0,0,0,0,0,0
Morrisons,0,0,0,0,0,0,0,0,0,0,0,1,1
MRP,0,0,0,0,0,0,0,0,0,0,0,1,1
Muji,0,0,0,0,0,0,0,0,0,0,0,1,1
New Balance,0,0,0,0,0,0,0,0,0,0,0,1,1
New Look,0,0,0,0,0,0,0,0,0,0,0,0,0
New Yorker,0,0,0,0,0,0,0,0,0,0,0,0,0
Next,0,0,0,0,0,0,0,0,0,0,0,1,1
Nike,0,0,0,0,0,0,0,0,0,0,0,1,1
Nine West,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordstrom,0,0,0,0,0,0,0,0,0,0,0,1,1
Old Navy,0,0,0,0,0,0,0,0,0,0,0,1,1
Otto,0,0,0,0,0,0,0,0,0,0,0,1,1
OVS,3,3,3,2,2,1,1,3,0,1,1,1,21
Paris,0,0,0,0,0,0,0,0,0,0,0,0,0
Patagonia,3,3,3,0,0,0,0,0,0,0,0,1,10
Pepe Jeans,0,0,0,0,0,0,0,0,0,0,0,0,0
Pimkie,0,0,0,0,0,0,0,0,0,0,0,0,0
Prada,0,0,0,0,0,0,0,0,0,0,0,0,0
PrettyLittleThing,0,0,0,0,0,0,0,0,0,0,0,1,1
Primark,0,0,0,0,0,0,0,0,0,0,0,1,1
Prisma,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull&Bear,0,0,0,0,0,0,0,0,0,0,0,1,1
Puma,0,0,0,0,0,0,0,0,0,0,0,1,1
Quiksilver,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Lauren,0,0,0,0,0,0,0,0,0,0,0,1,1
Reebok,0,0,0,0,0,0,0,0,0,0,0,1,1
REI,0,0,0,0,0,0,0,0,0,0,0,1,1
Reliance Trends,0,0,0,0,0,0,0,0,0,0,0,0,0
Reserved,0,0,0,0,0,0,0,0,0,0,0,1,1
REVOLVE,0,0,0,0,0,0,0,0,0,0,0,0,0
River Island,0,0,0,0,0,0,0,0,0,0,0,1,1
Ross Dress for Less,0,0,0,0,0,0,0,0,0,0,0,0,0
Roxy,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Athletic,0,0,0,0,0,0,0,0,0,0,0,0,0
s.Oliver,0,0,0,0,0,0,0,0,0,0,0,1,1
